ID,Age,Gender,Grade_Level,Strength_Score,Endurance_Score,Flexibility_Score,Speed_Agility_Score,BMI,Health_Fitness_Knowledge_Score,Skills_Score,Class_Participation_Level,Attendance_Rate,Motivation_Level,Overall_PE_Performance_Score,Improvement_Rate,Final_Grade,Previous_Semester_PE_Grade,Hours_Physical_Activity_Per_Week,Performance
1,16,Other,10th,46.64215300709872,46.429237959680094,50.36329185009137,51.647608412365166,29.23722539893244,83.46770775216494,62.54601962323033,Medium,79.0904051034569,Medium,71.98393517177486,3.8062104305360576,A,B,6.141111485515476,Low Performer
2,17,Male,9th,66.69021525289392,66.50848175973942,71.18330833123144,50.50887701856018,21.127816418430506,53.727725796485046,67.26146538430689,High,92.29444097854956,Medium,69.90817646614862,1.6510610790935094,B,A,5.055664152362151,Average Performer
3,14,Male,12th,47.40408648636395,48.19933295560968,48.805379131314275,51.73341664370408,18.60946428552366,74.00905699758731,55.15063311171979,Medium,91.85733934250061,High,64.8224255277778,4.781953160073073,C,B,6.514408517358642,Average Performer
4,16,Other,12th,34.96857046881894,51.50691744165851,56.78557694374601,52.439531979085004,19.391644445627758,68.97179344216039,69.47488584990646,Medium,99.49888618395696,Medium,72.17802339748727,5.0687506180529205,A,C,2.916262946610786,Average Performer
5,16,Male,12th,47.54256935914056,47.92313810859356,34.0640970777968,47.76797745365195,17.64146785063045,79.32262950634156,57.83498704556733,High,99.64001834882,Medium,74.75588435928583,5.321178866343519,B,B,9.975924022500408,Average Performer
6,17,Other,9th,47.27276430252329,50.18694857097761,56.42460645811473,64.89863438602082,18.860952367489187,79.70044187368202,53.2893032475701,High,92.16696529310323,High,52.53104308654445,7.724264807370158,C,B,5.40444702157374,Low Performer
7,14,Female,10th,23.031133570584284,36.84469895725758,47.192836024931765,33.99096021523484,20.517967605639885,67.92374105177974,73.87991721783082,High,81.09036979955485,High,64.61239162653905,4.527102326528281,B,D,4.785845117658949,Average Performer
8,14,Male,10th,49.45705133482188,32.719389408868466,64.78594993519795,41.71502975219754,16.37773192328543,67.87826135823957,73.1910966378649,Low,94.96389595326498,High,67.4505302959641,4.760760751262457,B,A,7.681678786530119,Average Performer
9,16,Female,9th,47.69065469791322,69.13406075869966,67.81079077347127,48.96745239850953,22.062473335798412,73.89334631442671,81.74310602422858,Medium,77.67572835527595,High,72.56170605694278,2.793631237533813,A,B,4.91119525196266,Low Performer
10,15,Other,10th,56.96206364813418,39.836463820180064,88.84345463027921,33.568111888458326,25.60910869514659,66.03357772684792,63.53311645637351,High,94.51748260429072,High,81.93311005927126,6.641107005775794,A,C,8.666194440230061,High Performer
11,16,Female,9th,68.48956094945345,38.10329180652431,58.69449759820363,48.241455955679285,18.368975279412318,83.41983695452127,76.12079270255134,Medium,97.75490310361741,High,62.28259185403218,5.368618128156207,C,B,5.634165794883402,Average Performer
12,16,Female,10th,61.26565029547757,24.159318636755422,54.886944748732496,66.61470165728018,28.077135694567076,71.30792799552555,78.26196358410495,High,84.57083486921088,Medium,65.02038153182158,4.159944545411675,A,B,7.756467306123479,Average Performer
13,16,Other,11th,47.31111309445169,42.332459027725974,52.91576452366004,50.20886488295962,24.043168354110378,45.930117806783585,76.67160711747393,High,90.76588237457702,Medium,64.8746588935345,1.1906506130690726,A,A,2.8596257315350924,Average Performer
14,16,Female,11th,38.934740912583294,34.12292247911002,44.702505607839676,52.30700905718683,26.12232234249623,71.25177943378193,57.61519475796787,High,85.75356830242066,Medium,61.98472409895459,7.888824390110175,C,C,8.768953484440894,Average Performer
15,17,Female,12th,75.7335980324986,69.70418192163643,55.077257651925365,37.3983523482742,19.368661784591453,64.61456179156028,72.24045223406783,High,85.94412637470322,Low,66.52813504887737,2.5446400710878856,B,B,7.885743894224879,Low Performer
16,14,Other,11th,50.59218434014488,62.11780507211161,45.56897884791456,43.83638591960523,25.418100908266464,58.687241845390545,75.46210444081991,Medium,82.75927222770301,High,77.70802219987971,3.8174439812605887,F,C,3.6937342276957255,Average Performer
17,17,Female,11th,50.13929291912946,41.742195857867316,52.52691464404421,46.24803619676063,17.632264398418748,62.62573361777427,70.10767700361913,High,94.05324051125811,High,59.461645046356544,5.716689022152006,F,B,3.162288077966293,Low Performer
18,17,Other,11th,49.758749128899964,77.0292296641317,69.7639630341194,46.82284903243766,25.560990003346035,76.0940847183297,38.70283512443373,Medium,98.40441410416263,Low,74.27814395152903,2.606884142766627,A,B,4.530338789804995,Low Performer
19,17,Female,9th,51.98084760767855,61.78118584389913,34.90186152080538,62.81643795003769,22.687357359174126,88.28640828248231,72.4073443596022,High,98.51877148086153,High,52.98097769981665,2.012980443493713,A,C,9.808564688255235,Low Performer
20,16,Other,11th,48.556395880760576,46.10202339789653,67.09817841693568,55.57691060725124,24.213004879939135,78.1318447386498,100.0,High,79.36953212187335,Low,64.38662003557793,0.7521048345986703,C,B,4.054652596536469,Low Performer
21,15,Other,11th,44.26337993119763,20.007131421517123,69.75672601009798,38.88542043062968,17.297621577500593,68.9349661178426,64.59941096864526,Low,96.86859124141415,Low,66.70510699782014,6.441993905811271,B,B,5.649017671573066,Low Performer
22,14,Female,12th,44.53141058759608,77.4913108710889,48.22897209513382,52.46504778432005,18.419720630893583,79.55904195170703,59.07884353217018,High,93.43578603567805,Medium,86.74859672914064,3.909627510547356,A,B,2.2401618057386905,Average Performer
23,15,Female,11th,49.672467297840015,33.32513039883685,18.172176514871083,54.98221748496785,24.38891287301354,70.40909689781009,75.60022839567097,High,81.32093501725723,Low,67.25197695247311,10.0,C,C,5.17782023652986,Low Performer
24,17,Female,11th,44.56575228866235,30.2552150365173,40.882670193583515,61.40149038521267,18.206607983103197,68.05399630836855,74.68567315699858,High,76.68211532303786,High,47.987565265490815,3.0112898687382534,A,B,6.570560123464822,Low Performer
25,17,Male,10th,42.871542173228356,62.270845184115686,69.45491819841664,65.80540686568374,23.852825168396492,63.456373317670156,87.89102748124621,Medium,81.69993167210944,High,50.011110931387506,3.1570979531421575,C,B,9.62499690006372,Low Performer
